pipeline,resource,organisation,value,entity
document,,,notice:COA00000780-1,5800486
document,,,area-appraisal:COA00000085-1,5800487
document,,,notice:COA00000085-1,5800488
document,,,notice:COA00000085-2,5800489
document,,,area-appraisal:COA00000099-1,5800490
document,,,notice:COA00000099-1,5800491
document,,,area-appraisal:COA00000108-1,5800492
document,,,notice:COA00000108-1,5800493
document,,,area-appraisal:COA00000123-1,5800494
document,,,notice:COA00000123-1,5800495
document,,,notice:COA00000123-2,5800496
document,,,notice:COA00000136-1,5800497
document,,,area-appraisal:COA00000136-1,5800498
document,,,article-4-document:COA00000136-1,5800499
document,,,notice:COA00000136-2,5800500
document,,,notice:COA00000164-1,5800501
document,,,notice:COA00000164-2,5800502
document,,,area-appraisal:COA00000164-1,5800503
document,,,article-4-document:COA00000164-1,5800504
document,,,area-appraisal:COA00000250-1,5800505
document,,,notice:COA00000250-1,5800506
document,,,notice:COA00000262-1,5800507
document,,,notice:COA00000315-1,5800508
document,,,area-appraisal:COA00000363-1,5800509
document,,,notice:COA00000363-1,5800510
document,,,notice:COA00000363-2,5800511
document,,,area-appraisal:COA00000372-1,5800512
document,,,notice:COA00000372-1,5800513
document,,,area-appraisal:COA00000419-1,5800514
document,,,notice:COA00000419-1,5800515
document,,,area-appraisal:COA00000473-1,5800516
document,,,notice:COA00000473-1,5800517
document,,,area-appraisal:COA00000489-1,5800518
document,,,notice:COA00000489-1,5800519
document,,,area-appraisal:COA00000537-1,5800520
document,,,notice:COA00000537-1,5800521
document,,,area-appraisal:COA00000539-1,5800522
document,,,notice:COA00000539-1,5800523
document,,,area-appraisal:COA00000545-1,5800524
document,,,notice:COA00000545-1,5800525
document,,,area-appraisal:COA00000754-1,5800526
document,,,notice:COA00000754-1,5800527
document,,,notice:COA00000754-2,5800528
document,,,area-appraisal:COA00000755-1,5800529
document,,,area-appraisal:COA00000759-1,5800530
document,,,notice:COA00000759-1,5800531
document,,,notice:COA00000759-2,5800532
document,,,notice:COA00000759-3,5800533
document,,,area-appraisal:COA00000769-1,5800534
document,,,notice:COA00000769-1,5800535
document,,,area-appraisal:COA00000771-1,5800536
document,,,area-appraisal:COA00000771-2,5800537
document,,,area-appraisal:COA00000771-3,5800538
document,,,area-appraisal:COA00000771-4,5800539
document,,,area-appraisal:COA00000771-5,5800540
document,,,notice:COA00000771-1,5800541
document,,,notice:COA00000771-2,5800542
document,,,notice:COA00000771-3,5800543
document,,,notice:COA00000771-4,5800544
document,,,notice:COA00000771-5,5800545
document,,,area-appraisal:COA00000773-1,5800546
document,,,area-appraisal:COA00000773-2,5800547
document,,,area-appraisal:COA00000773-3,5800548
document,,,notice:COA00000773-1,5800549
document,,,notice:COA00000775-1,5800550
