description,developer-agreement-type,development-plan-document,development-plan-types,development-policies,document,document-types,document-url,end-date,entry-date,geographies,name,notes,organisations,planning-application,start-date,slug
,,,,,notice:COA00000780-1,notice,https://www.southwark.gov.uk/assets/attach/2164/London-Gazette-February-1982.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000780,,,local-authority-eng:SWK,,,/document/notice/COA00000780-1
,,,,,area-appraisal:COA00000085-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/2152/St_Saviour_s_Dock.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000085,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000085-1
,,,,,notice:COA00000085-1,notice,https://www.southwark.gov.uk/assets/attach/2153/London-Gazette-November-1980.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000085,,,local-authority-eng:SWK,,,/document/notice/COA00000085-1
,,,,,notice:COA00000085-2,notice,https://www.southwark.gov.uk/assets/attach/2168/London-Gazette-March-1986.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000085,,,local-authority-eng:SWK,,,/document/notice/COA00000085-2
,,,,,area-appraisal:COA00000099-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/2158/Trinity_Church_Square.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000099,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000099-1
,,,,,notice:COA00000099-1,notice,https://www.southwark.gov.uk/assets/attach/2128/London-Gazette-September-1968.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000099,,,local-authority-eng:SWK,,,/document/notice/COA00000099-1
,,,,,area-appraisal:COA00000108-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/2154/West_Square_CA_Appraisal__March2013_web.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000108,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000108-1
,,,,,notice:COA00000108-1,notice,https://www.southwark.gov.uk/assets/attach/2155/London-Gazette-September-1971.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000108,,,local-authority-eng:SWK,,,/document/notice/COA00000108-1
,,,,,area-appraisal:COA00000123-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/2148/Tower_Bridge.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000123,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000123-1
,,,,,notice:COA00000123-1,notice,https://www.southwark.gov.uk/assets/attach/2150/London-Gazette-December-1978.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000123,,,local-authority-eng:SWK,,,/document/notice/COA00000123-1
,,,,,notice:COA00000123-2,notice,https://www.southwark.gov.uk/assets/attach/2151/London-Gazette-March-1986.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000123,,,local-authority-eng:SWK,,,/document/notice/COA00000123-2
,,,,,notice:COA00000136-1,notice,https://www.southwark.gov.uk/assets/attach/2153/London-Gazette-November-1980.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000136,,,local-authority-eng:SWK,,,/document/notice/COA00000136-1
,,,,,area-appraisal:COA00000136-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/10964/Trafalgar-Avenue-CA-final-draft.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000136,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000136-1
,,,,,article-4-document:COA00000136-1,article-4-document,https://www.southwark.gov.uk/assets/attach/11091/Article-4-direction-maps-Trafalgar-Ave.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000136,,,local-authority-eng:SWK,,,/document/article-4-document/COA00000136-1
,,,,,notice:COA00000136-2,notice,https://www.southwark.gov.uk/assets/attach/11092/Article-4-direction-press-notice.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000136,,,local-authority-eng:SWK,,,/document/notice/COA00000136-2
,,,,,notice:COA00000164-1,notice,https://www.southwark.gov.uk/assets/attach/2153/London-Gazette-November-1980.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000164,,,local-authority-eng:SWK,,,/document/notice/COA00000164-1
,,,,,notice:COA00000164-2,notice,https://www.southwark.gov.uk/assets/attach/2167/London-Gazette-November-1987.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000164,,,local-authority-eng:SWK,,,/document/notice/COA00000164-2
