description,developer-agreement-type,development-plan-document,development-plan-types,development-policies,document,document-types,document-url,end-date,entry-date,geographies,name,notes,organisations,planning-application,start-date,slug
,,,,,area-appraisal:COA00000164-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/10962/Cobourg-Road-final.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000164,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000164-1
,,,,,article-4-document:COA00000164-1,article-4-document,https://www.southwark.gov.uk/assets/attach/11079/Article-4-direction-map-Cobourg-Road.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000164,,,local-authority-eng:SWK,,,/document/article-4-document/COA00000164-1
,,,,,notice:COA00000164-2,notice,https://www.southwark.gov.uk/assets/attach/11078/Article-4-direction-press-notice.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000164,,,local-authority-eng:SWK,,,/document/notice/COA00000164-2
,,,,,area-appraisal:COA00000250-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/2184/100702_The_Gardens_CA_Appraisal_compressed.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000250,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000250-1
,,,,,notice:COA00000250-1,notice,https://www.southwark.gov.uk/assets/attach/2169/London-Gazette-September-1989.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000250,,,local-authority-eng:SWK,,,/document/notice/COA00000250-1
,,,,,notice:COA00000262-1,notice,https://www.southwark.gov.uk/assets/attach/2122/London-Gazette-September-1989.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000262,,,local-authority-eng:SWK,,,/document/notice/COA00000262-1
,,,,,notice:COA00000315-1,notice,https://www.southwark.gov.uk/assets/attach/2170/London-Gazette-July-1971.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000315,,,local-authority-eng:SWK,,,/document/notice/COA00000315-1
,,,,,area-appraisal:COA00000363-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/2161/Thorburn_Sq_CA_Appraisal_September_2012__Adopted_.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000363,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000363-1
,,,,,notice:COA00000363-1,notice,https://www.southwark.gov.uk/assets/attach/2162/London-Gazette-July-1992.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000363,,,local-authority-eng:SWK,,,/document/notice/COA00000363-1
,,,,,notice:COA00000363-2,notice,https://www.southwark.gov.uk/assets/attach/2163/London-Gazette-November-2012.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000363,,,local-authority-eng:SWK,,,/document/notice/COA00000363-2
,,,,,area-appraisal:COA00000372-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/2202/Peckham_Hill_StreetCA_Appraisal__NPPF_web.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000372,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000372-1
,,,,,notice:COA00000372-1,notice,https://www.southwark.gov.uk/assets/attach/2203/London-Gazette-October-2011.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000372,,,local-authority-eng:SWK,,,/document/notice/COA00000372-1
,,,,,area-appraisal:COA00000419-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/2204/Valentine_Place_Conservation_Area_Appraisal_September_2012__Adopted_.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000419,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000419-1
,,,,,notice:COA00000419-1,notice,https://www.southwark.gov.uk/assets/attach/2205/London-Gazette-April-2012.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000419,,,local-authority-eng:SWK,,,/document/notice/COA00000419-1
,,,,,area-appraisal:COA00000473-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/2206/Larcom_Street_Conservation_Area_Appraisal__Adopted_March_2013_web.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000473,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000473-1
,,,,,notice:COA00000473-1,notice,https://www.southwark.gov.uk/assets/attach/2207/London-Gazette-April-2013.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000473,,,local-authority-eng:SWK,,,/document/notice/COA00000473-1
,,,,,area-appraisal:COA00000489-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/2208/Elliotts_Row_Conservation_Area_Appraisal__Adopted_March_2013_web.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000489,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000489-1
,,,,,notice:COA00000489-1,notice,https://www.southwark.gov.uk/assets/attach/2207/London-Gazette-April-2013.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000489,,,local-authority-eng:SWK,,,/document/notice/COA00000489-1
,,,,,area-appraisal:COA00000537-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/2135/100629_Union_Street_Appraisal_compressed.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000537,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000537-1
,,,,,notice:COA00000537-1,notice,https://www.southwark.gov.uk/assets/attach/2136/London-Gazette-June-2000.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000537,,,local-authority-eng:SWK,,,/document/notice/COA00000537-1
,,,,,area-appraisal:COA00000539-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/2187/100625_Stradella_Road_compressed.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000539,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000539-1
,,,,,notice:COA00000539-1,notice,https://www.southwark.gov.uk/assets/attach/2157/London-Gazette-December-2000.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000539,,,local-authority-eng:SWK,,,/document/notice/COA00000539-1
,,,,,area-appraisal:COA00000545-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/2156/St_George_s_Circus.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000545,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000545-1
,,,,,notice:COA00000545-1,notice,https://www.southwark.gov.uk/assets/attach/2157/London-Gazette-December-2000.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000545,,,local-authority-eng:SWK,,,/document/notice/COA00000545-1
,,,,,area-appraisal:COA00000754-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/2129/Tooley_Street.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000754,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000754-1
,,,,,notice:COA00000754-1,notice,https://www.southwark.gov.uk/assets/attach/2130/London-Gazette-September-1989-Part-1.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000754,,,local-authority-eng:SWK,,,/document/notice/COA00000754-1
,,,,,notice:COA00000754-2,notice,https://www.southwark.gov.uk/assets/attach/2132/100629_Union_Street_Appraisal_compressed.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000754,,,local-authority-eng:SWK,,,/document/notice/COA00000754-2
,,,,,area-appraisal:COA00000755-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/2159/Pullen_s_Estate.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000755,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000755-1
,,,,,area-appraisal:COA00000759-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/2125/Borough_High_Street.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000759,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000759-1
,,,,,notice:COA00000759-1,notice,https://www.southwark.gov.uk/assets/attach/2126/London-Gazette-November-1980-part-1.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000759,,,local-authority-eng:SWK,,,/document/notice/COA00000759-1
,,,,,notice:COA00000759-2,notice,https://www.southwark.gov.uk/assets/attach/2127/London-Gazette-November-1980-part-2.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000759,,,local-authority-eng:SWK,,,/document/notice/COA00000759-2
,,,,,notice:COA00000759-3,notice,https://www.southwark.gov.uk/assets/attach/2128/London-Gazette-September-1968.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000759,,,local-authority-eng:SWK,,,/document/notice/COA00000759-3
,,,,,area-appraisal:COA00000769-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/2171/100712_Caroline_Gardens_Appraisal_compressed.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000769,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000769-1
,,,,,notice:COA00000769-1,notice,https://www.southwark.gov.uk/assets/attach/2128/London-Gazette-September-1968.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000769,,,local-authority-eng:SWK,,,/document/notice/COA00000769-1
,,,,,area-appraisal:COA00000771-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/2175/Camberwell_Grove_Part_one.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000771,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000771-1
,,,,,area-appraisal:COA00000771-2,area-appraisal,https://www.southwark.gov.uk/assets/attach/2176/Camberwell_Grove_Part_two.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000771,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000771-2
,,,,,area-appraisal:COA00000771-3,area-appraisal,https://www.southwark.gov.uk/assets/attach/2177/Camberwell_Grove_Part_three.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000771,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000771-3
,,,,,area-appraisal:COA00000771-4,area-appraisal,https://www.southwark.gov.uk/assets/attach/2178/Camberwell_Grove_Part_four.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000771,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000771-4
,,,,,area-appraisal:COA00000771-5,area-appraisal,https://www.southwark.gov.uk/assets/attach/2179/Camberwell_Grove_Part_five.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000771,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000771-5
,,,,,notice:COA00000771-1,notice,https://www.southwark.gov.uk/assets/attach/2180/London-Gazette-July-1970.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000771,,,local-authority-eng:SWK,,,/document/notice/COA00000771-1
,,,,,notice:COA00000771-2,notice,https://www.southwark.gov.uk/assets/attach/2153/London-Gazette-November-1980.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000771,,,local-authority-eng:SWK,,,/document/notice/COA00000771-2
,,,,,notice:COA00000771-3,notice,https://www.southwark.gov.uk/assets/attach/2126/London-Gazette-November-1980-part-1.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000771,,,local-authority-eng:SWK,,,/document/notice/COA00000771-3
,,,,,notice:COA00000771-4,notice,https://www.southwark.gov.uk/assets/attach/2127/London-Gazette-November-1980-part-2.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000771,,,local-authority-eng:SWK,,,/document/notice/COA00000771-4
,,,,,notice:COA00000771-5,notice,https://www.southwark.gov.uk/assets/attach/2181/London-Gazette-May-1975.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000771,,,local-authority-eng:SWK,,,/document/notice/COA00000771-5
,,,,,area-appraisal:COA00000773-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/2188/Dulwich_Village_part_one.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000773,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000773-1
,,,,,area-appraisal:COA00000773-2,area-appraisal,https://www.southwark.gov.uk/assets/attach/2189/Dulwich_Village_part_two.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000773,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000773-2
,,,,,area-appraisal:COA00000773-3,area-appraisal,https://www.southwark.gov.uk/assets/attach/2190/Dulwich_Village_part_three.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000773,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000773-3
,,,,,notice:COA00000773-1,notice,https://www.southwark.gov.uk/assets/attach/2128/London-Gazette-September-1968.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000773,,,local-authority-eng:SWK,,,/document/notice/COA00000773-1
,,,,,notice:COA00000775-1,notice,https://www.southwark.gov.uk/assets/attach/2128/London-Gazette-September-1968.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000775,,,local-authority-eng:SWK,,,/document/notice/COA00000775-1
,,,,,area-appraisal:COA00000776-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/2174/100705_Seaux_Gardens_Appraisal_compressed.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000776,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000776-1
,,,,,notice:COA00000776-1,notice,https://www.southwark.gov.uk/assets/attach/2128/London-Gazette-September-1968.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000776,,,local-authority-eng:SWK,,,/document/notice/COA00000776-1
,,,,,area-appraisal:COA00000778-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/2172/100621_Camberwell_Green_Appraisal_compressed.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000778,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000778-1
,,,,,notice:COA00000778-1,notice,https://www.southwark.gov.uk/assets/attach/2173/London-Gazette-June-1981.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000778,,,local-authority-eng:SWK,,,/document/notice/COA00000778-1
,,,,,area-appraisal:COA00000779-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/3994/Liverpool-Grove-Appraisal-Mar-2013-.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000779,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000779-1
,,,,,notice:COA00000779-1,notice,https://www.southwark.gov.uk/assets/attach/2165/London-Gazette-February-1982-part-1.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000779,,,local-authority-eng:SWK,,,/document/notice/COA00000779-1
,,,,,notice:COA00000779-2,notice,https://www.southwark.gov.uk/assets/attach/2166/London-Gazette-February-1982-part-2.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000779,,,local-authority-eng:SWK,,,/document/notice/COA00000779-2
,,,,,notice:COA00000783-1,notice,https://www.southwark.gov.uk/assets/attach/2168/London-Gazette-March-1986.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000783,,,local-authority-eng:SWK,,,/document/notice/COA00000783-1
,,,,,area-appraisal:COA00000784-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/2137/Bermondsey_Street_part_one.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000784,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000784-1
,,,,,area-appraisal:COA00000784-2,area-appraisal,https://www.southwark.gov.uk/assets/attach/2138/Bermondsey_Street_part_two.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000784,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000784-2
,,,,,notice:COA00000785-1,notice,https://www.southwark.gov.uk/assets/attach/2186/London-Gazette-February-1987.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000785,,,local-authority-eng:SWK,,,/document/notice/COA00000785-1
,,,,,area-appraisal:COA00000786-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/2185/Nunhead_Cemetery_CAA.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000786,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000786-1
,,,,,notice:COA00000786-1,notice,https://www.southwark.gov.uk/assets/attach/2186/London-Gazette-February-1987.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000786,,,local-authority-eng:SWK,,,/document/notice/COA00000786-1
,,,,,area-appraisal:COA00000787-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/2123/Thrale_Street_CA_Appraisal__March_2013_web.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000787,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000787-1
,,,,,notice:COA00000787-1,notice,https://www.southwark.gov.uk/assets/attach/2124/London-Gazette-September-1989.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000787,,,local-authority-eng:SWK,,,/document/notice/COA00000787-1
,,,,,notice:COA00000788-1,notice,https://www.southwark.gov.uk/assets/attach/2169/London-Gazette-September-1989.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000788,,,local-authority-eng:SWK,,,/document/notice/COA00000788-1
,,,,,area-appraisal:COA00000789-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/2183/100721_Nunhead_Green_Appraisal_compressed.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000789,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000789-1
,,,,,area-appraisal:COA00000790-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/2192/Sunray_Estate.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000790,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000790-1
,,,,,article-4-document:COA00000790-1,article-4-document,https://www.southwark.gov.uk/assets/attach/2193/Article-4-.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000790,,,local-authority-eng:SWK,,,/document/article-4-document/COA00000790-1
,,,,,article-4-document:COA00000790-2,article-4-document,https://www.southwark.gov.uk/assets/attach/2193/Article-4-.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000790,,,local-authority-eng:SWK,,,/document/article-4-document/COA00000790-2
,,,,,notice:COA00000791-1,notice,https://www.southwark.gov.uk/assets/attach/2194/London-Gazette-January-2010.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000791,,,local-authority-eng:SWK,,,/document/notice/COA00000791-1
,,,,,area-appraisal:COA00000792-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/2195/Edward_III_s_Rotherhithe_CA_Appraisal__Jun12web.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000792,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000792-1
,,,,,notice:COA00000792-1,notice,https://www.southwark.gov.uk/assets/attach/2196/London-Gazette-February-2011.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000792,,,local-authority-eng:SWK,,,/document/notice/COA00000792-1
,,,,,notice:COA00000792-2,notice,https://www.southwark.gov.uk/assets/attach/2197/London-Gazette-November-2015.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000792,,,local-authority-eng:SWK,,,/document/notice/COA00000792-2
,,,,,area-appraisal:COA00000793-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/2137/Bermondsey_Street_part_one.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000793,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000793-1
,,,,,area-appraisal:COA00000793-2,area-appraisal,https://www.southwark.gov.uk/assets/attach/2138/Bermondsey_Street_part_two.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000793,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000793-2
,,,,,area-appraisal:COA00000793-3,area-appraisal,https://www.southwark.gov.uk/assets/attach/2139/Bermondsey_Street_part_three.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000793,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000793-3
,,,,,area-appraisal:COA00000793-4,area-appraisal,https://www.southwark.gov.uk/assets/attach/2140/Bermondsey_Street_part_four.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000793,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000793-4
,,,,,area-appraisal:COA00000793-5,area-appraisal,https://www.southwark.gov.uk/assets/attach/2141/Bermondsey_Street_part_five.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000793,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000793-5
,,,,,notice:COA00000793-1,notice,https://www.southwark.gov.uk/assets/attach/2142/London-Gazette-January-2010-part-1.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000793,,,local-authority-eng:SWK,,,/document/notice/COA00000793-1
,,,,,notice:COA00000793-2,notice,https://www.southwark.gov.uk/assets/attach/2143/London-Gazette-January-2010-part-2.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000793,,,local-authority-eng:SWK,,,/document/notice/COA00000793-2
,,,,,notice:COA00000793-3,notice,https://www.southwark.gov.uk/assets/attach/2144/London-Gazette-March-1973.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000793,,,local-authority-eng:SWK,,,/document/notice/COA00000793-3
,,,,,notice:COA00000793-4,notice,https://www.southwark.gov.uk/assets/attach/2145/London-Gazette-May-1992.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000793,,,local-authority-eng:SWK,,,/document/notice/COA00000793-4
,,,,,area-appraisal:COA00000794-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/8303/Liberty-of-the-Mint-Conservation-Area-Appraisal.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000794,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000794-1
,,,,,area-appraisal:COA00000795-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/2198/Rye_Lane_Peckham_C_A_Appraisal.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000795,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000795-1
,,,,,notice:COA00000795-1,notice,https://www.southwark.gov.uk/assets/attach/2200/London-Gazette-November-2011-part-1.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000795,,,local-authority-eng:SWK,,,/document/notice/COA00000795-1
,,,,,notice:COA00000795-2,notice,https://www.southwark.gov.uk/assets/attach/2201/London-Gazette-November-2011-part2.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000795,,,local-authority-eng:SWK,,,/document/notice/COA00000795-2
,,,,,area-appraisal:COA00000796-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/2182/Holly_Grove_Conservation_Area.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000796,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000796-1
,,,,,notice:COA00000796-1,notice,https://www.southwark.gov.uk/assets/attach/2181/London-Gazette-May-1975.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000796,,,local-authority-eng:SWK,,,/document/notice/COA00000796-1
,,,,,area-appraisal:COA00000797-1,area-appraisal,https://www.southwark.gov.uk/assets/attach/2209/Walworth_Road_CAA__MARCH_2016_.pdf,,2021-04-09,/conservation-area/local-authority-eng/SWK/COA00000797,,,local-authority-eng:SWK,,,/document/area-appraisal/COA00000797-1
